skill_category,skill,info_url
"Application Programming Interfaces (API)","Facebook API",https://lightcast.io/open-skills/skills/BGS892CABC45CFC503BA
"Application Programming Interfaces (API)","Facebook Graph API",https://lightcast.io/open-skills/skills/KS123SV6LRVVSHVVMB70
"Application Programming Interfaces (API)",FastAPI,https://lightcast.io/open-skills/skills/ES4654925D2963CB73D7
"Application Programming Interfaces (API)","Generic Buffer Management",https://lightcast.io/open-skills/skills/KS7G3PG5VNGZGNP0XBXW
"Application Programming Interfaces (API)","Google APIs",https://lightcast.io/open-skills/skills/KS124F463RCBNG9LDZCR
"Application Programming Interfaces (API)","Graphics APIs",https://lightcast.io/open-skills/skills/ES3C9F07EE5AD0795230
"Application Programming Interfaces (API)","Graphics Device Interface",https://lightcast.io/open-skills/skills/KS1247H6DXC2QF03151M
"Application Programming Interfaces (API)","Hardware Platform Interface",https://lightcast.io/open-skills/skills/KS124LQ6RPFZR3V1CRRP
"Application Programming Interfaces (API)","Hasura GraphQL Engine",https://lightcast.io/open-skills/skills/ES2B6604B1F9FB5339D9
"Application Programming Interfaces (API)",Hateoas,https://lightcast.io/open-skills/skills/KS9QC5TR5JB0D90ALKV5
"Application Programming Interfaces (API)","Java Advanced Imaging",https://lightcast.io/open-skills/skills/KS125GN5WQ9DR02V4ZNY
"Application Programming Interfaces (API)","Java API For RESTful Web Services",https://lightcast.io/open-skills/skills/KS125HR75GST7VX8ZL7K
"Application Programming Interfaces (API)","Java API For XML Processing",https://lightcast.io/open-skills/skills/KS125HT6JT4CNJX1T6FD
"Application Programming Interfaces (API)","Java API For XML Registries",https://lightcast.io/open-skills/skills/KS125HT6WB68JFZX65QH
"Application Programming Interfaces (API)","Java Persistence API",https://lightcast.io/open-skills/skills/KS125HB70CNRRS0RX5KJ
"Application Programming Interfaces (API)","Java Remote Method Invocation",https://lightcast.io/open-skills/skills/KS125HC6220KFQ1RGJBN
"Application Programming Interfaces (API)","Java Transaction API",https://lightcast.io/open-skills/skills/KS125HJ67V3JCF1687RJ
"Application Programming Interfaces (API)",JavaMail,https://lightcast.io/open-skills/skills/KS125HK75NC7RHS22WPR
"Application Programming Interfaces (API)",Libvirt,https://lightcast.io/open-skills/skills/KS125TL626NS7FKJNYKG
"Application Programming Interfaces (API)","LinkedIn API",https://lightcast.io/open-skills/skills/KSEG3KJGMF7B82GRDH5U
"Application Programming Interfaces (API)","Location APIs",https://lightcast.io/open-skills/skills/KS125YC7423ZXRRBR4QB
"Application Programming Interfaces (API)","MBeans (Java API)",NULL
"Application Programming Interfaces (API)","Microsoft UI Automation",https://lightcast.io/open-skills/skills/KS126JV79J8HNZ7XYLB4
"Application Programming Interfaces (API)","Mobile Rich Media Ad Interface Definitions (MRAID)",https://lightcast.io/open-skills/skills/BGS9F43BB8EC6B6E4B52
"Application Programming Interfaces (API)","Native API",https://lightcast.io/open-skills/skills/KS1273Y75H3SRX0SVSWG
"Application Programming Interfaces (API)",NetBIOS,https://lightcast.io/open-skills/skills/KS126XV6NQBGSG1J52LL
"Application Programming Interfaces (API)","Object Linking And Embedding - Database (OLE DB)",https://lightcast.io/open-skills/skills/KS1277T5X79GJHLRYNTW
"Application Programming Interfaces (API)",OpenGL,https://lightcast.io/open-skills/skills/KS12796736TWZ91FSFMC
"Application Programming Interfaces (API)","OpenAPI Specification",https://lightcast.io/open-skills/skills/ESBA9C90F47943F20B92
"Application Programming Interfaces (API)",OpenCL,https://lightcast.io/open-skills/skills/KS127B777YLP4QV98B1J
"Application Programming Interfaces (API)",OpenMAX,https://lightcast.io/open-skills/skills/KS127BP5YTHDDBH4DHMP
"Application Programming Interfaces (API)",OpenMP,https://lightcast.io/open-skills/skills/KS1279C73FX6ZRSZMSRZ
"Application Programming Interfaces (API)","Pluggable Authentication Modules (PAM)",NULL
"Application Programming Interfaces (API)","POSIX Threads",https://lightcast.io/open-skills/skills/KS127YN5XJVXL6HM3S67
"Application Programming Interfaces (API)","Postman API Platform",https://lightcast.io/open-skills/skills/KS7YXWLEAKN8QOFDFVS2
"Application Programming Interfaces (API)","Remote Application Platform",https://lightcast.io/open-skills/skills/KS7G6LC78K3X13W77KTH
"Application Programming Interfaces (API)","REST API Development",https://lightcast.io/open-skills/skills/BGSE06CE24B89ABF0441
"Application Programming Interfaces (API)","Rest Client",https://lightcast.io/open-skills/skills/KS78DEH6LGDO3G8HP7FI
"Application Programming Interfaces (API)","RESTEasy (Jboss)",https://lightcast.io/open-skills/skills/KS4401T706BHR4FWLJK7
"Application Programming Interfaces (API)","RESTful API",https://lightcast.io/open-skills/skills/KS4401V5WX78L6JX0NW7
"Application Programming Interfaces (API)","Social Media APIs",https://lightcast.io/open-skills/skills/BGS33CEDEB27215C63FB
"Application Programming Interfaces (API)","Software Adapters",https://lightcast.io/open-skills/skills/KS687LC75YG9S5X3PQQ2
"Application Programming Interfaces (API)",Strongloop,https://lightcast.io/open-skills/skills/KS28L9U9IPIO686K95ZK
"Application Programming Interfaces (API)","Swagger UI",https://lightcast.io/open-skills/skills/KS3EP9CXRSFB1XIK8GDP
"Application Programming Interfaces (API)","Task Parallel Library (.NET Framework)",https://lightcast.io/open-skills/skills/KS441765YZ9DWRZ4G6C3
"Application Programming Interfaces (API)","Vulkan Graphics API",https://lightcast.io/open-skills/skills/ESE4F25E3EAE4ED00367
"Application Programming Interfaces (API)","Web Rest",NULL
"Application Programming Interfaces (API)","WCF/Web API",https://lightcast.io/open-skills/skills/BGS705EBC2569C9EE551
"Application Programming Interfaces (API)",WebRTC,https://lightcast.io/open-skills/skills/KS4421574Y7BCXPPGHVF
"Application Programming Interfaces (API)","Windows API",https://lightcast.io/open-skills/skills/KS126JY7457B6B783MLJ
"Application Programming Interfaces (API)","WordPress REST API",https://lightcast.io/open-skills/skills/BGS67E1952EB356A3F14
"Application Programming Interfaces (API)","Workflow APIs",https://lightcast.io/open-skills/skills/KS4424X6L4CFK93DNZ2G
"Artificial Intelligence and Machine Learning (AI/ML)","3D Reconstruction",https://lightcast.io/open-skills/skills/KS1201K6P46HG0XKD41J
"Artificial Intelligence and Machine Learning (AI/ML)","Activity Recognition",https://lightcast.io/open-skills/skills/KSZL61W5WB9CRWALSETH
"Artificial Intelligence and Machine Learning (AI/ML)","AdaBoost (Adaptive Boosting)",https://lightcast.io/open-skills/skills/KSEJZFLTMFCZ2ZK59YNU
"Artificial Intelligence and Machine Learning (AI/ML)","Adversarial Machine Learning",https://lightcast.io/open-skills/skills/ES81D2EA8C54BE9D647B
"Artificial Intelligence and Machine Learning (AI/ML)","AIOps (Artificial Intelligence for IT Operations)",https://lightcast.io/open-skills/skills/ES85AFFFA8A800AA4183
"Artificial Intelligence and Machine Learning (AI/ML)","Amazon Textract",https://lightcast.io/open-skills/skills/ES24C5C98A45F551E85E
"Artificial Intelligence and Machine Learning (AI/ML)","Apache Mahout",https://lightcast.io/open-skills/skills/KSRT0BE62KLQPF7WZC3O
"Artificial Intelligence and Machine Learning (AI/ML)","Apache MXNet",https://lightcast.io/open-skills/skills/ESE482BE10DF9CD13AE0
"Artificial Intelligence and Machine Learning (AI/ML)","Apache SINGA",https://lightcast.io/open-skills/skills/ESDC6ED222DBCF6A9CA8
"Artificial Intelligence and Machine Learning (AI/ML)","Applications Of Artificial Intelligence",https://lightcast.io/open-skills/skills/KS120BV70XSJ6K0VQ6S5
"Artificial Intelligence and Machine Learning (AI/ML)","Artificial Intelligence",https://lightcast.io/open-skills/skills/KS120BV6SR75RBKQH0G3
"Artificial Intelligence and Machine Learning (AI/ML)","Artificial Intelligence Development",https://lightcast.io/open-skills/skills/ESBAAA6244437165D77B
"Artificial Intelligence and Machine Learning (AI/ML)","Artificial Intelligence Markup Language (AIML)",https://lightcast.io/open-skills/skills/KS120C16DHL5K6SSZX7F
"Artificial Intelligence and Machine Learning (AI/ML)","Artificial Intelligence Systems",https://lightcast.io/open-skills/skills/KS120NM6L2KDLC2Z9DND
"Artificial Intelligence and Machine Learning (AI/ML)","Artificial Neural Networks",https://lightcast.io/open-skills/skills/KS120NN6SBW45D10MY36
"Artificial Intelligence and Machine Learning (AI/ML)","Association Rule Learning",https://lightcast.io/open-skills/skills/KS120PY72N214QHMLQPR
"Artificial Intelligence and Machine Learning (AI/ML)",Autoencoders,https://lightcast.io/open-skills/skills/ESBD14A88C96CEF6B04C
"Artificial Intelligence and Machine Learning (AI/ML)","Automated Machine Learning",https://lightcast.io/open-skills/skills/ES1E2CB20570CC2A253A
"Artificial Intelligence and Machine Learning (AI/ML)","AWS SageMaker",https://lightcast.io/open-skills/skills/ES2133DA6434CF028833
"Artificial Intelligence and Machine Learning (AI/ML)","Azure Cognitive Services",https://lightcast.io/open-skills/skills/ESF5943639E2E815A6F4
"Artificial Intelligence and Machine Learning (AI/ML)","Azure Machine Learning",https://lightcast.io/open-skills/skills/ES53E6EA8285F66F0CE7
"Artificial Intelligence and Machine Learning (AI/ML)",Baidu,https://lightcast.io/open-skills/skills/KSOWP58S3PVS55ZCL0TK
"Artificial Intelligence and Machine Learning (AI/ML)",Boosting,https://lightcast.io/open-skills/skills/KSORG41MPDZUG1W4O6M6
"Artificial Intelligence and Machine Learning (AI/ML)",Caffe,NULL
"Artificial Intelligence and Machine Learning (AI/ML)",Caffe2,https://lightcast.io/open-skills/skills/ES7B4BB7E5D36A6807CD
"Artificial Intelligence and Machine Learning (AI/ML)",Chatbot,https://lightcast.io/open-skills/skills/KS7K2A142LYPQ2Q5N1Q6
"Artificial Intelligence and Machine Learning (AI/ML)","Classification And Regression Tree (CART)",https://lightcast.io/open-skills/skills/KS121F17945FMQSZZPC6
"Artificial Intelligence and Machine Learning (AI/ML)","Cognitive Automation",https://lightcast.io/open-skills/skills/ES703B36A2EC6DD91F93
"Artificial Intelligence and Machine Learning (AI/ML)","Cognitive Computing",https://lightcast.io/open-skills/skills/ESFA35B1E22CAA5CC8E6
"Artificial Intelligence and Machine Learning (AI/ML)","Cognitive Robotics",https://lightcast.io/open-skills/skills/KS1257N67SL03TPTZKKC
"Artificial Intelligence and Machine Learning (AI/ML)","Collaborative Filtering",https://lightcast.io/open-skills/skills/KS8V94BPPMIAWFLCKAHX
"Artificial Intelligence and Machine Learning (AI/ML)","Computational Intelligence",https://lightcast.io/open-skills/skills/KS12274718CQS23MLN4R
"Artificial Intelligence and Machine Learning (AI/ML)","Confusion Matrix",https://lightcast.io/open-skills/skills/KSXZEWBV09PK2NGNZKFB
"Artificial Intelligence and Machine Learning (AI/ML)","Convolutional Neural Networks",https://lightcast.io/open-skills/skills/ES3E181DDDBC374119D5
"Artificial Intelligence and Machine Learning (AI/ML)",Cortana,https://lightcast.io/open-skills/skills/KSFO3KGTRMXSOWFB1F9N
"Artificial Intelligence and Machine Learning (AI/ML)",CudaNN,NULL
"Artificial Intelligence and Machine Learning (AI/ML)","Dask (Software)",https://lightcast.io/open-skills/skills/BGS69A94013BDDE77C36
"Artificial Intelligence and Machine Learning (AI/ML)","Deep Learning",https://lightcast.io/open-skills/skills/KSBZ9LW988KC56I219SP
"Artificial Intelligence and Machine Learning (AI/ML)","Deep Learning Methods",https://lightcast.io/open-skills/skills/ES444F7110B700C46A8C
"Artificial Intelligence and Machine Learning (AI/ML)",Deeplearning4j,https://lightcast.io/open-skills/skills/KSHWF7TOJ3GQ8GC4DXSO
"Artificial Intelligence and Machine Learning (AI/ML)","Dialog Systems",https://lightcast.io/open-skills/skills/KS122XF6FVVMT5CH5TJN
"Artificial Intelligence and Machine Learning (AI/ML)","Dlib (C++ Library)",https://lightcast.io/open-skills/skills/BGSC9EC2F7170172C1DA
"Artificial Intelligence and Machine Learning (AI/ML)","Ensemble Methods",https://lightcast.io/open-skills/skills/ESB3C965DAF0075A5C19
"Artificial Intelligence and Machine Learning (AI/ML)","Evolutionary Acquisition Of Neural Topologies",https://lightcast.io/open-skills/skills/KS123Q26T3SC3NPTQBJ4
"Artificial Intelligence and Machine Learning (AI/ML)","Expert Systems",https://lightcast.io/open-skills/skills/KS123RD5VV5WNJLMNH3J
"Artificial Intelligence and Machine Learning (AI/ML)",Fast.ai,https://lightcast.io/open-skills/skills/ESA55C56CF6775C34F77
"Artificial Intelligence and Machine Learning (AI/ML)","Feature Engineering",https://lightcast.io/open-skills/skills/KS7GT1F0QQOV7R7VGXQL
"Artificial Intelligence and Machine Learning (AI/ML)","Feature Extraction",https://lightcast.io/open-skills/skills/KSQQSY7DG7KE6EUJGXS9
"Artificial Intelligence and Machine Learning (AI/ML)","Feature Learning",https://lightcast.io/open-skills/skills/ES52274D181DA23B7CF1
"Artificial Intelligence and Machine Learning (AI/ML)","Feature Selection",https://lightcast.io/open-skills/skills/KS441R26FF6RF17KLYD7
"Artificial Intelligence and Machine Learning (AI/ML)","Game AI",https://lightcast.io/open-skills/skills/KSOZPJQNGDDTEHVHECN0
"Artificial Intelligence and Machine Learning (AI/ML)","General-Purpose Computing On Graphics Processing Units",https://lightcast.io/open-skills/skills/KS124GM6L8M3NFB28XVF
"Artificial Intelligence and Machine Learning (AI/ML)","Genetic Algorithm",https://lightcast.io/open-skills/skills/KS1249566FV5RQSV6XKD
"Artificial Intelligence and Machine Learning (AI/ML)","Gesture Recognition",https://lightcast.io/open-skills/skills/KS02UR4B184REKBI2VWW
"Artificial Intelligence and Machine Learning (AI/ML)","Google AutoML",https://lightcast.io/open-skills/skills/ESB3A211D0C84934574B
"Artificial Intelligence and Machine Learning (AI/ML)","Gradient Boosting",https://lightcast.io/open-skills/skills/ESD5C3FF77F38D04C794
"Artificial Intelligence and Machine Learning (AI/ML)",H2O.ai,https://lightcast.io/open-skills/skills/ESA45DA3CA37FB31DBA4
"Artificial Intelligence and Machine Learning (AI/ML)","Hidden Markov Model",https://lightcast.io/open-skills/skills/KS124PV64GCH4ZM4JV5Z
"Artificial Intelligence and Machine Learning (AI/ML)","Inference Engine",https://lightcast.io/open-skills/skills/KS1253X6R0D6HLPBYBRW
"Artificial Intelligence and Machine Learning (AI/ML)","Intelligent Agent",https://lightcast.io/open-skills/skills/KS1257K708VWF1YDYB19
"Artificial Intelligence and Machine Learning (AI/ML)","Intelligent Control",https://lightcast.io/open-skills/skills/KS1257L6D1LVPHVJTDYL
"Artificial Intelligence and Machine Learning (AI/ML)","Intelligent Systems",https://lightcast.io/open-skills/skills/KS1257Q5X294RY01TML8
"Artificial Intelligence and Machine Learning (AI/ML)","Intelligent Virtual Assistant",https://lightcast.io/open-skills/skills/ESCFF5FDB56CA2D4D461
"Artificial Intelligence and Machine Learning (AI/ML)","Interactive Kiosk",https://lightcast.io/open-skills/skills/KS1257W6F16P377TDB4L
"Artificial Intelligence and Machine Learning (AI/ML)","IPsoft Amelia",https://lightcast.io/open-skills/skills/BGS3E094AC5C3BF7B8D5
"Artificial Intelligence and Machine Learning (AI/ML)",Kaldi,https://lightcast.io/open-skills/skills/BGS96A220F557A465071
"Artificial Intelligence and Machine Learning (AI/ML)","Keras (Neural Network Library)",https://lightcast.io/open-skills/skills/KSFHF2FU8HN39495VYLU
"Artificial Intelligence and Machine Learning (AI/ML)","Kernel Methods",https://lightcast.io/open-skills/skills/ES7E805421A0FE35FF43
"Artificial Intelligence and Machine Learning (AI/ML)","Knowledge-Based Configuration",https://lightcast.io/open-skills/skills/KS1282G6GB6K11R05RK0
"Artificial Intelligence and Machine Learning (AI/ML)","Knowledge-Based Systems",https://lightcast.io/open-skills/skills/KS125ND6RJPYDM8RZBFB
"Artificial Intelligence and Machine Learning (AI/ML)",Kubeflow,https://lightcast.io/open-skills/skills/ESCFBA0F765A85EB01FB
"Artificial Intelligence and Machine Learning (AI/ML)","Long Short-Term Memory (LSTM)",https://lightcast.io/open-skills/skills/ES7649EF3746BDC3C8CA
"Artificial Intelligence and Machine Learning (AI/ML)","Machine Learning",https://lightcast.io/open-skills/skills/KS1261Z68KSKR1X31KS3
"Artificial Intelligence and Machine Learning (AI/ML)","Machine Learning Algorithms",https://lightcast.io/open-skills/skills/KS125S466GJGQXS1W0JM
"Artificial Intelligence and Machine Learning (AI/ML)","Machine Learning Methods",https://lightcast.io/open-skills/skills/ES2933FAEF72CE4E2840
"Artificial Intelligence and Machine Learning (AI/ML)","Meta Learning",https://lightcast.io/open-skills/skills/ESB6385C03CCAA0500DE
"Artificial Intelligence and Machine Learning (AI/ML)","Microsoft Cognitive Toolkit (CNTK)",https://lightcast.io/open-skills/skills/KSO76W9QVVUSGPNTEAT5
"Artificial Intelligence and Machine Learning (AI/ML)","Microsoft LUIS",https://lightcast.io/open-skills/skills/ESE42CD3A48692935232
"Artificial Intelligence and Machine Learning (AI/ML)",MLflow,https://lightcast.io/open-skills/skills/ES7A460DFF81957229AF
"Artificial Intelligence and Machine Learning (AI/ML)","MLOps (Machine Learning Operations)",https://lightcast.io/open-skills/skills/ES5CC048D272E45D3BAE
"Artificial Intelligence and Machine Learning (AI/ML)","mlpack (C++ Library)",https://lightcast.io/open-skills/skills/BGS20F76977E3641C88B
"Artificial Intelligence and Machine Learning (AI/ML)","Multi-Agent Systems",https://lightcast.io/open-skills/skills/KS120B26J5GXDQTCNX6H
"Artificial Intelligence and Machine Learning (AI/ML)","Nvidia Jetson",https://lightcast.io/open-skills/skills/BGS256AAD1C36291E44C
"Artificial Intelligence and Machine Learning (AI/ML)","Objective Function",https://lightcast.io/open-skills/skills/KSNGU6QCSYBB2689ZBLS
"Artificial Intelligence and Machine Learning (AI/ML)",OmniPage,https://lightcast.io/open-skills/skills/KS1278478J70FZ41PDWT
"Artificial Intelligence and Machine Learning (AI/ML)","Open Neural Network Exchange (ONNX)",https://lightcast.io/open-skills/skills/ESF139B3982E3D96EEC2
"Artificial Intelligence and Machine Learning (AI/ML)","OpenAI Gym",https://lightcast.io/open-skills/skills/ESFA60262315D5351E38
"Artificial Intelligence and Machine Learning (AI/ML)",OpenCV,https://lightcast.io/open-skills/skills/KS12791657JTS84RWLVQ
"Artificial Intelligence and Machine Learning (AI/ML)",OpenVINO,https://lightcast.io/open-skills/skills/ES697E13C24330880FA2
"Artificial Intelligence and Machine Learning (AI/ML)",PaddlePaddle,https://lightcast.io/open-skills/skills/ESF883D55E465713A835
"Artificial Intelligence and Machine Learning (AI/ML)",Pydata,https://lightcast.io/open-skills/skills/BGS77E38C3EA2412F7C7
"Artificial Intelligence and Machine Learning (AI/ML)","PyTorch (Machine Learning Library)",https://lightcast.io/open-skills/skills/KSWXHT30GQY9B4QSXC5O
"Artificial Intelligence and Machine Learning (AI/ML)","Random Forest Algorithm",https://lightcast.io/open-skills/skills/KSAP4YQTVOS4ZSBNVSRY
"Artificial Intelligence and Machine Learning (AI/ML)","Reasoning Systems",https://lightcast.io/open-skills/skills/KS126206WF46JGLT8VJW
"Artificial Intelligence and Machine Learning (AI/ML)","Recommender Systems",https://lightcast.io/open-skills/skills/KS128FT5XK7FS63H8GL2
"Artificial Intelligence and Machine Learning (AI/ML)","Recurrent Neural Network (RNN)",https://lightcast.io/open-skills/skills/KSON1G92ZK13FWTOZ1OT
"Artificial Intelligence and Machine Learning (AI/ML)","Reinforcement Learning",https://lightcast.io/open-skills/skills/KS4LL1EBNO7YQ6BSVNIW
"Artificial Intelligence and Machine Learning (AI/ML)","Scikit-learn (Machine Learning Library)",https://lightcast.io/open-skills/skills/KSJ2QBJ158RE1QN9D3AZ
"Artificial Intelligence and Machine Learning (AI/ML)","Semi-Supervised Learning",https://lightcast.io/open-skills/skills/BGSA621921AB76D8DF4A
"Artificial Intelligence and Machine Learning (AI/ML)",Seq2Seq,https://lightcast.io/open-skills/skills/BGS87D376BCF6F3451F1
"Artificial Intelligence and Machine Learning (AI/ML)","Sorting Algorithm",https://lightcast.io/open-skills/skills/KS127DQ6W30GJDZKZYG7
"Artificial Intelligence and Machine Learning (AI/ML)","Speech Recognition Software",https://lightcast.io/open-skills/skills/KS440V46MW059SX8C0XP
"Artificial Intelligence and Machine Learning (AI/ML)","Speech Synthesis",https://lightcast.io/open-skills/skills/ESBD03499053871E7AD9
"Artificial Intelligence and Machine Learning (AI/ML)","Supervised Learning",https://lightcast.io/open-skills/skills/KS4412R60NGTMD1785Z8
"Artificial Intelligence and Machine Learning (AI/ML)","Support Vector Machine",https://lightcast.io/open-skills/skills/KS4413Q6MBGFCJV0LXC5
"Artificial Intelligence and Machine Learning (AI/ML)",TensorFlow,https://lightcast.io/open-skills/skills/KS2GHRCYA6TRT29F1HOO
"Artificial Intelligence and Machine Learning (AI/ML)","Test Datasets",https://lightcast.io/open-skills/skills/ES2E3BCBDC3BC3B283F0
"Artificial Intelligence and Machine Learning (AI/ML)",Text-To-Speech,https://lightcast.io/open-skills/skills/ESDF8AE073A25208E767
"Artificial Intelligence and Machine Learning (AI/ML)","Theano (Software)",https://lightcast.io/open-skills/skills/KSF8SU1CMDZ28IBJY7O5
"Artificial Intelligence and Machine Learning (AI/ML)","Torch (Machine Learning)",https://lightcast.io/open-skills/skills/ESFFB6109F270A30945C
"Artificial Intelligence and Machine Learning (AI/ML)","Training Datasets",https://lightcast.io/open-skills/skills/ESB4D949EDD72D99F66B
"Artificial Intelligence and Machine Learning (AI/ML)","Transfer Learning",https://lightcast.io/open-skills/skills/ES708E114D6101ACB618
"Artificial Intelligence and Machine Learning (AI/ML)","Unsupervised Learning",https://lightcast.io/open-skills/skills/KSYMJOZ8SL2197CK9UAU
"Artificial Intelligence and Machine Learning (AI/ML)","Voice Assistant Technology",https://lightcast.io/open-skills/skills/ESD2E015633809B06EA7
"Artificial Intelligence and Machine Learning (AI/ML)","Voice Interaction",https://lightcast.io/open-skills/skills/KS9N0XOKGT7VDX8HCHM4
"Artificial Intelligence and Machine Learning (AI/ML)","Voice User Interface",https://lightcast.io/open-skills/skills/ES2C572F14E6E3D646EA
"Artificial Intelligence and Machine Learning (AI/ML)","Vowpal Wabbit",https://lightcast.io/open-skills/skills/BGS8FFD93201E86C1C26
